Scenario_ID,BECCS_Type
AIM/CGE 2.1 - CD-LINKS_NPi2020_400,High-BECCS
AIM/CGE 2.2 - EN_NPi2020_300f,High-BECCS
AIM/CGE 2.2 - EN_NPi2020_600,High-BECCS
AIM/Hub-Global 2.0 - 1.5C,High-BECCS
COFFEE 1.1 - EN_NPi2020_400,High-BECCS
GCAM 4.2 - SSP1-19,Low-BECCS
GCAM 5.3 - R_MAC_30_n0,High-BECCS
GCAM 5.3 - R_MAC_35_n8,High-BECCS
GCAM 5.3 - R_MAC_40_n8,High-BECCS
GCAM 5.3 - R_MAC_45_n8,High-BECCS
GCAM 5.3 - R_MAC_50_n8,High-BECCS
IMAGE 3.2 - SSP1_SPA1_19I_D_LB,High-BECCS
IMAGE 3.2 - SSP1_SPA1_19I_LIRE_LB,High-BECCS
IMAGE 3.2 - SSP1_SPA1_19I_RE_LB,High-BECCS
IMAGE 3.2 - SSP2_SPA1_19I_D_LB,High-BECCS
IMAGE 3.2 - SSP2_SPA1_19I_LIRE_LB,High-BECCS
IMAGE 3.2 - SSP2_SPA1_19I_RE_LB,High-BECCS
IMAGE 3.2 - SSP2_SPA2_19I_LI,High-BECCS
MESSAGE-GLOBIOM 1.0 - ADVANCE_2020_1.5C-2100,Low-BECCS
MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_cost100,High-BECCS
MESSAGE-GLOBIOM 1.0 - EMF33_1.5C_full,High-BECCS
MESSAGE-GLOBIOM 1.0 - SSP2-19,Low-BECCS
MESSAGEix-GLOBIOM 1.0 - CD-LINKS_NPi2020_400,High-BECCS
MESSAGEix-GLOBIOM_1.1 - EN_NPi2020_450,Low-BECCS
MESSAGEix-GLOBIOM_1.1 - EN_NPi2020_500,Low-BECCS
MESSAGEix-GLOBIOM_1.1 - EN_NPi2020_600_COV,Low-BECCS
MESSAGEix-GLOBIOM_1.1 - EN_NPi2020_600_DR1p,Low-BECCS
MESSAGEix-GLOBIOM_1.1 - EN_NPi2020_600_DR2p,Low-BECCS
MESSAGEix-GLOBIOM_1.1 - EN_NPi2020_600_DR3p,Low-BECCS
MESSAGEix-GLOBIOM_1.1 - EN_NPi2020_600_DR4p,Low-BECCS
MESSAGEix-GLOBIOM_1.1 - NGFS2_Divergent Net Zero Policies,Low-BECCS
MESSAGEix-GLOBIOM_1.1 - NGFS2_Net-Zero 2050,Low-BECCS
POLES ADVANCE - ADVANCE_2020_1.5C-2100,High-BECCS
POLES EMF33 - EMF33_WB2C_cost100,High-BECCS
POLES EMF33 - EMF33_WB2C_full,High-BECCS
POLES EMF33 - EMF33_WB2C_nofuel,High-BECCS
REMIND 1.7 - ADVANCE_2020_1.5C-2100,High-BECCS
REMIND 1.7 - CEMICS-1.5-CDR12,High-BECCS
REMIND 1.7 - CEMICS-1.5-CDR20,High-BECCS
REMIND 1.7 - CEMICS-1.5-CDR8,High-BECCS
REMIND 1.7 - CEMICS-2.0-CDR8,Low-BECCS
REMIND 2.1 - CEMICS_GDPgrowth_1p5,High-BECCS
REMIND 2.1 - CEMICS_HotellingConst_1p5,High-BECCS
REMIND 2.1 - CEMICS_Linear_1p5,High-BECCS
REMIND 2.1 - CEMICS_opt_1p5,High-BECCS
REMIND 2.1 - LeastTotalCost_LTC_brkLR15_SSP1_P50,Low-BECCS
REMIND 2.1 - R2p1_SSP1-PkBudg900,High-BECCS
REMIND 2.1 - R2p1_SSP2-PkBudg900,High-BECCS
REMIND 2.1 - R2p1_SSP5-PkBudg900,High-BECCS
REMIND-MAgPIE 1.5 - SSP2-19,High-BECCS
REMIND-MAgPIE 1.7-3.0 - CD-LINKS_NPi2020_400,High-BECCS
REMIND-MAgPIE 1.7-3.0 - EMF33_1.5C_nofuel,High-BECCS
REMIND-MAgPIE 1.7-3.0 - PEP_1p5C_full_eff,High-BECCS
REMIND-MAgPIE 1.7-3.0 - PEP_1p5C_red_eff,High-BECCS
REMIND-MAgPIE 1.7-3.0 - PEP_2C_red_eff,High-BECCS
REMIND-MAgPIE 1.7-3.0 - SMP_2C_lifesty,Low-BECCS
REMIND-MAgPIE 2.1-4.2 - EN_NPi2020_300f,High-BECCS
REMIND-MAgPIE 2.1-4.2 - EN_NPi2020_600,High-BECCS
REMIND-MAgPIE 2.1-4.2 - EN_NPi2020_400,High-BECCS
REMIND-MAgPIE 2.1-4.2 - EN_NPi2020_500,High-BECCS
REMIND-MAgPIE 2.1-4.2 - EN_NPi2020_600_COV,High-BECCS
REMIND-MAgPIE 2.1-4.2 - NGFS2_Divergent Net Zero Policies,High-BECCS
REMIND-MAgPIE 2.1-4.2 - NGFS2_Net-Zero 2050,High-BECCS
REMIND-MAgPIE 2.1-4.2 - CEMICS_SSP1-1p5C-fullCDR,High-BECCS
REMIND-MAgPIE 2.1-4.2 - CEMICS_SSP1-1p5C-minCDR,Low-BECCS
REMIND-MAgPIE 2.1-4.2 - CEMICS_SSP2-1p5C-fullCDR,High-BECCS
REMIND-MAgPIE 2.1-4.2 - CEMICS_SSP2-1p5C-minCDR,Low-BECCS
REMIND-MAgPIE 2.1-4.2 - EN_NPi2020_200f,High-BECCS
REMIND-MAgPIE 2.1-4.2 - EN_NPi2020_400f,High-BECCS
REMIND-MAgPIE 2.1-4.2 - EN_NPi2020_600f_COV,Low-BECCS
REMIND-MAgPIE 2.1-4.2 - NGFS2_Net-Zero 2050 - IPD-95th,High-BECCS
REMIND-MAgPIE 2.1-4.2 - NGFS2_Net-Zero 2050 - IPD-median,High-BECCS
REMIND-MAgPIE 2.1-4.2 - SusDev_SDP-PkBudg1000,Low-BECCS
REMIND-MAgPIE 2.1-4.2 - SusDev_SSP1-PkBudg900,High-BECCS
REMIND-MAgPIE 2.1-4.2 - SusDev_SSP2-PkBudg900,High-BECCS
REMIND-MAgPIE 2.1-4.3 - DeepElec_SSP2_ HighRE_Budg900,Low-BECCS
REMIND-MAgPIE 2.1-4.3 - DeepElec_SSP2_def_Budg900,High-BECCS
WITCH 5.0 - EN_NPi2020_450,High-BECCS
WITCH 5.0 - EN_NPi2020_500,Low-BECCS
WITCH 5.0 - EN_NPi2020_400f,Low-BECCS
WITCH 5.0 - EN_NPi2020_450f,Low-BECCS
WITCH 5.0 - EN_NPi2020_500f,Low-BECCS
WITCH-GLOBIOM 3.1 - SSP1-19,High-BECCS
WITCH-GLOBIOM 3.1 - SSP4-19,High-BECCS
WITCH-GLOBIOM 4.4 - CD-LINKS_NPi2020_400,High-BECCS
WITCH-GLOBIOM 4.4 - CD-LINKS_NPi2020_1000,High-BECCS
